Level	Rule Name	Subject	Property	Value
ERROR	missing_label	MAXO:0000070	rdfs:label	
ERROR	missing_label	MAXO:0000107	rdfs:label	
ERROR	missing_label	MAXO:0000108	rdfs:label	
ERROR	missing_label	MAXO:0000110	rdfs:label	
ERROR	missing_label	MAXO:0000112	rdfs:label	
ERROR	missing_label	MAXO:0000536	rdfs:label	
ERROR	missing_label	MAXO:0000605	rdfs:label	
ERROR	missing_label	MAXO:0000606	rdfs:label	
ERROR	missing_label	MAXO:0000607	rdfs:label	
ERROR	missing_label	MAXO:0000790	rdfs:label	
ERROR	missing_label	MAXO:0000792	rdfs:label	
ERROR	missing_label	MAXO:0000793	rdfs:label	
ERROR	missing_label	MAXO:0000819	rdfs:label	
ERROR	missing_label	MAXO:0000820	rdfs:label	
ERROR	missing_label	MAXO:0000833	rdfs:label	
ERROR	missing_label	MAXO:0000840	rdfs:label	
ERROR	missing_label	MAXO:0000841	rdfs:label	
ERROR	missing_label	MAXO:0000842	rdfs:label	
ERROR	missing_label	MAXO:0000843	rdfs:label	
ERROR	missing_label	MAXO:0000844	rdfs:label	
ERROR	missing_label	MAXO:0000847	rdfs:label	
ERROR	missing_label	MAXO:0000851	rdfs:label	
ERROR	missing_label	MAXO:0000854	rdfs:label	
ERROR	missing_label	MAXO:0000865	rdfs:label	
ERROR	missing_label	MAXO:0001019	rdfs:label	
ERROR	missing_label	MAXO:0001153	rdfs:label	
ERROR	missing_label	MAXO:0010029	rdfs:label	
ERROR	missing_label	OBI:0002600	rdfs:label	
ERROR	missing_label	OBI:0002650	rdfs:label	
WARN	missing_definition	MAXO:0000070	IAO:0000115	
WARN	missing_definition	MAXO:0000107	IAO:0000115	
WARN	missing_definition	MAXO:0000108	IAO:0000115	
WARN	missing_definition	MAXO:0000110	IAO:0000115	
WARN	missing_definition	MAXO:0000112	IAO:0000115	
WARN	missing_definition	MAXO:0000236	IAO:0000115	
WARN	missing_definition	MAXO:0000255	IAO:0000115	
WARN	missing_definition	MAXO:0000268	IAO:0000115	
WARN	missing_definition	MAXO:0000280	IAO:0000115	
WARN	missing_definition	MAXO:0000281	IAO:0000115	
WARN	missing_definition	MAXO:0000282	IAO:0000115	
WARN	missing_definition	MAXO:0000284	IAO:0000115	
WARN	missing_definition	MAXO:0000286	IAO:0000115	
WARN	missing_definition	MAXO:0000288	IAO:0000115	
WARN	missing_definition	MAXO:0000289	IAO:0000115	
WARN	missing_definition	MAXO:0000291	IAO:0000115	
WARN	missing_definition	MAXO:0000293	IAO:0000115	
WARN	missing_definition	MAXO:0000298	IAO:0000115	
WARN	missing_definition	MAXO:0000304	IAO:0000115	
WARN	missing_definition	MAXO:0000306	IAO:0000115	
WARN	missing_definition	MAXO:0000308	IAO:0000115	
WARN	missing_definition	MAXO:0000309	IAO:0000115	
WARN	missing_definition	MAXO:0000314	IAO:0000115	
WARN	missing_definition	MAXO:0000317	IAO:0000115	
WARN	missing_definition	MAXO:0000318	IAO:0000115	
WARN	missing_definition	MAXO:0000319	IAO:0000115	
WARN	missing_definition	MAXO:0000320	IAO:0000115	
WARN	missing_definition	MAXO:0000321	IAO:0000115	
WARN	missing_definition	MAXO:0000441	IAO:0000115	
WARN	missing_definition	MAXO:0000442	IAO:0000115	
WARN	missing_definition	MAXO:0000465	IAO:0000115	
WARN	missing_definition	MAXO:0000477	IAO:0000115	
WARN	missing_definition	MAXO:0000521	IAO:0000115	
WARN	missing_definition	MAXO:0000536	IAO:0000115	
WARN	missing_definition	MAXO:0000605	IAO:0000115	
WARN	missing_definition	MAXO:0000606	IAO:0000115	
WARN	missing_definition	MAXO:0000607	IAO:0000115	
WARN	missing_definition	MAXO:0000614	IAO:0000115	
WARN	missing_definition	MAXO:0000644	IAO:0000115	
WARN	missing_definition	MAXO:0000654	IAO:0000115	
WARN	missing_definition	MAXO:0000664	IAO:0000115	
WARN	missing_definition	MAXO:0000684	IAO:0000115	
WARN	missing_definition	MAXO:0000790	IAO:0000115	
WARN	missing_definition	MAXO:0000792	IAO:0000115	
WARN	missing_definition	MAXO:0000793	IAO:0000115	
WARN	missing_definition	MAXO:0000819	IAO:0000115	
WARN	missing_definition	MAXO:0000820	IAO:0000115	
WARN	missing_definition	MAXO:0000833	IAO:0000115	
WARN	missing_definition	MAXO:0000840	IAO:0000115	
WARN	missing_definition	MAXO:0000841	IAO:0000115	
WARN	missing_definition	MAXO:0000842	IAO:0000115	
WARN	missing_definition	MAXO:0000843	IAO:0000115	
WARN	missing_definition	MAXO:0000844	IAO:0000115	
WARN	missing_definition	MAXO:0000847	IAO:0000115	
WARN	missing_definition	MAXO:0000851	IAO:0000115	
WARN	missing_definition	MAXO:0000854	IAO:0000115	
WARN	missing_definition	MAXO:0000865	IAO:0000115	
WARN	missing_definition	MAXO:0000879	IAO:0000115	
WARN	missing_definition	MAXO:0001003	IAO:0000115	
WARN	missing_definition	MAXO:0001004	IAO:0000115	
WARN	missing_definition	MAXO:0001009	IAO:0000115	
WARN	missing_definition	MAXO:0001015	IAO:0000115	
WARN	missing_definition	MAXO:0001019	IAO:0000115	
WARN	missing_definition	MAXO:0001027	IAO:0000115	
WARN	missing_definition	MAXO:0001028	IAO:0000115	
WARN	missing_definition	MAXO:0001124	IAO:0000115	
WARN	missing_definition	MAXO:0001153	IAO:0000115	
WARN	missing_definition	MAXO:0010029	IAO:0000115	
WARN	missing_definition	OBI:0002600	IAO:0000115	
WARN	missing_definition	OBI:0002650	IAO:0000115	
WARN	missing_definition	obo:maxo#ABBREVIATION	IAO:0000115	
INFO	missing_superclass	MAXO:0000001	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000070	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000107	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000108	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000110	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000112	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000173	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000606	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000607	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000642	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000645	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000792	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000843	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000844	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000847	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0000854	rdfs:subClassOf	
INFO	missing_superclass	MAXO:0001014	rdfs:subClassOf	
