defined_class	defined_class_name	protein	protein_entity	substance	substance_entity	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001174	serum protein measurement	PR:000000001	protein	UBERON:0001977	blood serum	http://orcid.org/0000-0001-7941-2961	2021-03-19T15:25:01Z				
MAXO:0001181	serum alkaline phosphatase measurement	PR:000023540	alkaline phosphatase	UBERON:0001977	blood serum	http://orcid.org/0000-0001-7941-2961	2021-08-12T15:25:01Z				serum Alk phos measurement
MAXO:0001222	serum alpha-fetoprotein measurement	PR:P02771	alpha-fetoprotein	UBERON:0001977	blood serum	http://orcid.org/0000-0001-7941-2961	2022-03-28T15:25:01Z	The determination of the amount of alpha-fetoprotein present in blood serum.			serum alpha-fetoprotein test|alpha-fetoprotein serum measurement
