defined_class	defined_class_name	protein	protein_entity	substance	substance_entity	created_by	date	comment	xref	syns
MAXO:0000865		PR:000000001	protein	UBERON:0000178	blood	http://orcid.org/0000-0001-7941-2961	2021-02-17T15:25:01Z			
MAXO:0000833	thyroid-stimulating hormone test	PR:000028269	thyroid stimulating hormone	UBERON:0000178	blood	http://orcid.org/0000-0001-7941-2961	2021-02-16T21:03:38Z			
