defined_class	defined_class_name	cell	cell_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0001006		CL:0000988	hematopoietic cell	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0000546		CL:0000542	lymphocyte	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0000825		CL:0000558	reticulocyte	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0001007		CL:0000232	erythrocyte	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0001010		CL:0000738	leukocyte	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0000544		CL:0000094	granulocyte	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0000545		CL:0000767	basophil	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0000543		CL:0000771	eosinophil	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0001009		CL:0000775	neutrophil	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0001008		CL:0000233	platelet	http://orcid.org/0000-0001-7941-2961	2019-05-16T18:20:55Z				
MAXO:0001367		CL:0000019	sperm	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001368		CL:0000912	helper T cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001369		CL:0000084	T cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001370		CL:0000236	B cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001371		CL:0000623	natural killer cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001372	burr cell count	CL:0002155	echynocyte	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001373		CL:0000786	plasma cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001374		CL:0000451	dendritic cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				
MAXO:0001375		CL:0000815	regulatory T cell	http://orcid.org/0000-0001-7941-2961	2023-03-03T20:39:14Z				T reg cell count
