defined_class	defined_class_name	protein	protein_entity	substance	substance_entity	created_by	date	comment	xref	syns
MAXO:0000851	urine protein measurement	PR:000000001	protein	UBERON:0001088	urine	http://orcid.org/0000-0001-7941-2961	2021-02-17T15:25:01Z			
MAXO:0001173	urine albumin measurement	PR:P02768	albumin (human)	UBERON:0001088	urine	http://orcid.org/0000-0001-7941-2961	2021-03-19T15:25:01Z			
