defined_class	defined_class_name	cell	cell_label	created_by	date	defined_class_definition	comment	xref	syns
MAXO:0010500		CL:0000081	blood cell	https://orcid.org/0000-0001-7941-2961	2020-05-03T20:39:14Z				
MAXO:0010501		CL:0000232	erythrocyte	https://orcid.org/0000-0001-7941-2961	2020-05-03T20:39:14Z				
MAXO:0010502		CL:0000558	reticulocyte	https://orcid.org/0000-0001-7941-2961	2020-05-03T20:39:14Z				
MAXO:0010503		CL:0000738	leukocyte	https://orcid.org/0000-0001-7941-2961	2020-05-04T20:39:14Z				
MAXO:0010504		CL:0000055	non-terminally differentiated cell	https://orcid.org/0000-0001-7941-2961	2020-05-04T20:39:14Z				
									
									
									
									
									
									
									
									
									
