Level	Rule Name	Subject	Property	Value
ERROR	missing_label	MAXO:0000062	rdfs:label	
ERROR	missing_label	MAXO:0000070	rdfs:label	
ERROR	missing_label	MAXO:0000107	rdfs:label	
ERROR	missing_label	MAXO:0000108	rdfs:label	
ERROR	missing_label	MAXO:0000110	rdfs:label	
ERROR	missing_label	MAXO:0000112	rdfs:label	
ERROR	missing_label	MAXO:0000157	rdfs:label	
ERROR	missing_label	MAXO:0000159	rdfs:label	
ERROR	missing_label	MAXO:0000160	rdfs:label	
ERROR	missing_label	MAXO:0000161	rdfs:label	
ERROR	missing_label	MAXO:0000163	rdfs:label	
ERROR	missing_label	MAXO:0000165	rdfs:label	
ERROR	missing_label	MAXO:0000166	rdfs:label	
ERROR	missing_label	MAXO:0000167	rdfs:label	
ERROR	missing_label	MAXO:0000169	rdfs:label	
ERROR	missing_label	MAXO:0000170	rdfs:label	
ERROR	missing_label	MAXO:0000173	rdfs:label	
ERROR	missing_label	MAXO:0000176	rdfs:label	
ERROR	missing_label	MAXO:0000178	rdfs:label	
ERROR	missing_label	MAXO:0000180	rdfs:label	
ERROR	missing_label	MAXO:0000181	rdfs:label	
ERROR	missing_label	MAXO:0000182	rdfs:label	
ERROR	missing_label	MAXO:0000183	rdfs:label	
ERROR	missing_label	MAXO:0000184	rdfs:label	
ERROR	missing_label	MAXO:0000185	rdfs:label	
ERROR	missing_label	MAXO:0000186	rdfs:label	
ERROR	missing_label	MAXO:0000187	rdfs:label	
ERROR	missing_label	MAXO:0000189	rdfs:label	
ERROR	missing_label	MAXO:0000202	rdfs:label	
ERROR	missing_label	MAXO:0000203	rdfs:label	
ERROR	missing_label	MAXO:0000205	rdfs:label	
ERROR	missing_label	MAXO:0000206	rdfs:label	
ERROR	missing_label	MAXO:0000208	rdfs:label	
ERROR	missing_label	MAXO:0000210	rdfs:label	
ERROR	missing_label	MAXO:0000213	rdfs:label	
ERROR	missing_label	MAXO:0000220	rdfs:label	
ERROR	missing_label	MAXO:0000230	rdfs:label	
ERROR	missing_label	MAXO:0000231	rdfs:label	
ERROR	missing_label	MAXO:0000234	rdfs:label	
ERROR	missing_label	MAXO:0000243	rdfs:label	
ERROR	missing_label	MAXO:0000244	rdfs:label	
ERROR	missing_label	MAXO:0000252	rdfs:label	
ERROR	missing_label	MAXO:0000256	rdfs:label	
ERROR	missing_label	MAXO:0000260	rdfs:label	
ERROR	missing_label	MAXO:0000265	rdfs:label	
ERROR	missing_label	MAXO:0000267	rdfs:label	
ERROR	missing_label	MAXO:0000287	rdfs:label	
ERROR	missing_label	MAXO:0000290	rdfs:label	
ERROR	missing_label	MAXO:0000292	rdfs:label	
ERROR	missing_label	MAXO:0000295	rdfs:label	
ERROR	missing_label	MAXO:0000296	rdfs:label	
ERROR	missing_label	MAXO:0000297	rdfs:label	
ERROR	missing_label	MAXO:0000305	rdfs:label	
ERROR	missing_label	MAXO:0000307	rdfs:label	
ERROR	missing_label	MAXO:0000313	rdfs:label	
ERROR	missing_label	MAXO:0000315	rdfs:label	
ERROR	missing_label	MAXO:0000316	rdfs:label	
ERROR	missing_label	MAXO:0000323	rdfs:label	
ERROR	missing_label	MAXO:0000324	rdfs:label	
ERROR	missing_label	MAXO:0000325	rdfs:label	
ERROR	missing_label	MAXO:0000427	rdfs:label	
ERROR	missing_label	MAXO:0000434	rdfs:label	
ERROR	missing_label	MAXO:0000436	rdfs:label	
ERROR	missing_label	MAXO:0000439	rdfs:label	
ERROR	missing_label	MAXO:0000536	rdfs:label	
ERROR	missing_label	MAXO:0000572	rdfs:label	
ERROR	missing_label	MAXO:0000599	rdfs:label	
ERROR	missing_label	MAXO:0000605	rdfs:label	
ERROR	missing_label	MAXO:0000606	rdfs:label	
ERROR	missing_label	MAXO:0000607	rdfs:label	
ERROR	missing_label	MAXO:0000628	rdfs:label	
ERROR	missing_label	MAXO:0000631	rdfs:label	
ERROR	missing_label	MAXO:0000632	rdfs:label	
ERROR	missing_label	MAXO:0000633	rdfs:label	
ERROR	missing_label	MAXO:0000634	rdfs:label	
ERROR	missing_label	MAXO:0000635	rdfs:label	
ERROR	missing_label	MAXO:0000636	rdfs:label	
ERROR	missing_label	MAXO:0000642	rdfs:label	
ERROR	missing_label	MAXO:0000644	rdfs:label	
