Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	MAXO:0000273	rdfs:label	obsolete Gastrointestinal agents, other	
ERROR	deprecated_class_reference	MAXO:0000273	owl:deprecated	true^^http://www.w3.org/2001/XMLSchema#boolean	
WARN	multiple_asserted_superclasses	MAXO:0000011	rdfs:subClassOf	MAXO:0000008	
WARN	multiple_asserted_superclasses	MAXO:0000011	rdfs:subClassOf	MAXO:0000012	
WARN	multiple_asserted_superclasses	MAXO:0000041	rdfs:subClassOf	MAXO:0000032	
WARN	multiple_asserted_superclasses	MAXO:0000041	rdfs:subClassOf	MAXO:0000053	
WARN	multiple_asserted_superclasses	MAXO:0000049	rdfs:subClassOf	MAXO:0000032	
WARN	multiple_asserted_superclasses	MAXO:0000049	rdfs:subClassOf	MAXO:0000151	
WARN	multiple_asserted_superclasses	MAXO:0000202	rdfs:subClassOf	MAXO:0000061	
WARN	multiple_asserted_superclasses	MAXO:0000202	rdfs:subClassOf	MAXO:0000300	
WARN	multiple_asserted_superclasses	MAXO:0000220	rdfs:subClassOf	MAXO:0000169	
WARN	multiple_asserted_superclasses	MAXO:0000220	rdfs:subClassOf	MAXO:0000300	
WARN	missing_definition	MAXO:0000001	IAO:0000600		
WARN	missing_definition	MAXO:0000002	IAO:0000115		
WARN	missing_definition	MAXO:0000002	IAO:0000600		
WARN	missing_definition	MAXO:0000003	IAO:0000115		
WARN	missing_definition	MAXO:0000003	IAO:0000600		
WARN	missing_definition	MAXO:0000004	IAO:0000115		
WARN	missing_definition	MAXO:0000004	IAO:0000600		
WARN	missing_definition	MAXO:0000005	IAO:0000115		
WARN	missing_definition	MAXO:0000005	IAO:0000600		
WARN	missing_definition	MAXO:0000006	IAO:0000115		
WARN	missing_definition	MAXO:0000006	IAO:0000600		
WARN	missing_definition	MAXO:0000008	IAO:0000600		
WARN	missing_definition	MAXO:0000009	IAO:0000115		
WARN	missing_definition	MAXO:0000009	IAO:0000600		
WARN	missing_definition	MAXO:0000010	IAO:0000115		
WARN	missing_definition	MAXO:0000010	IAO:0000600		
WARN	missing_definition	MAXO:0000011	IAO:0000115		
WARN	missing_definition	MAXO:0000011	IAO:0000600		
WARN	missing_definition	MAXO:0000012	IAO:0000115		
WARN	missing_definition	MAXO:0000012	IAO:0000600		
WARN	missing_definition	MAXO:0000013	IAO:0000115		
WARN	missing_definition	MAXO:0000013	IAO:0000600		
WARN	missing_definition	MAXO:0000014	IAO:0000115		
WARN	missing_definition	MAXO:0000014	IAO:0000600		
WARN	missing_definition	MAXO:0000015	IAO:0000115		
WARN	missing_definition	MAXO:0000015	IAO:0000600		
WARN	missing_definition	MAXO:0000016	IAO:0000115		
WARN	missing_definition	MAXO:0000016	IAO:0000600		
WARN	missing_definition	MAXO:0000017	IAO:0000600		
WARN	missing_definition	MAXO:0000018	IAO:0000600		
WARN	missing_definition	MAXO:0000019	IAO:0000600		
