Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label_synonym	MAXO:0035037	oboInOwl:hasExactSynonym	gastroscopy
WARN	missing_superclass	MAXO:0000019	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000034	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000058	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000075	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000107	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000108	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000109	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000112	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000131	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000173	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000326	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000327	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000328	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000329	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000330	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000331	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000332	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000333	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000334	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000335	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000336	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000337	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000338	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000339	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000340	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000341	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000342	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000343	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000344	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000345	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000346	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000347	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000348	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000349	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000350	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000351	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000352	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000353	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000354	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000355	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000356	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000357	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000358	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000359	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000360	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000361	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000362	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000363	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000364	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000365	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000366	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000367	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000368	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000369	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000370	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000371	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000372	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000373	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000374	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000375	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000376	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000377	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000378	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000379	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000380	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000381	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000382	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000383	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000384	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000385	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000387	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000388	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000389	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000390	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000391	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000392	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000393	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000394	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000395	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000396	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000397	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000398	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000399	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000400	rdfs:subClassOf	
WARN	missing_superclass	MAXO:0000401	rdfs:subClassOf	
