term,property,value
http://purl.obolibrary.org/obo/MAXO_0035120,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0002-0736-9199
http://purl.obolibrary.org/obo/MAXO_0035119,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0002-0736-9199
http://purl.obolibrary.org/obo/MAXO_0035118,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0002-0736-9199
http://purl.obolibrary.org/obo/MAXO_0035110,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0002-0736-9199
http://purl.obolibrary.org/obo/MAXO_0035054,http://purl.org/dc/terms/contributor,https://orcid.org/0000-0002-0736-9199
